,Entity,Code,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",World regions according to OWID,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter).1",Year.1
0,Afghanistan,AFG,1990,49.2824,,53.355362,2017.0
1,Afghanistan,AFG,1990,48.56489,,53.355362,2017.0
2,Afghanistan,AFG,1990,51.554535,,53.355362,2017.0
3,Afghanistan,AFG,1990,46.151928,,53.355362,2017.0
4,Afghanistan,AFG,1990,51.82179,,53.355362,2017.0
5,Afghanistan,AFG,1990,56.247227,,53.355362,2017.0
6,Afghanistan,AFG,1990,54.700233,,53.355362,2017.0
7,Afghanistan,AFG,1990,58.79166,,53.355362,2017.0
8,Afghanistan,AFG,1990,61.86533,,53.355362,2017.0
9,Afghanistan,AFG,1990,60.597015,,53.355362,2017.0
10,Afghanistan,AFG,1990,57.203705,,53.355362,2017.0
11,Afghanistan,AFG,1990,53.355362,,53.355362,2017.0
12,Afghanistan,AFG,1990,52.80462,,53.355362,2017.0
13,Afghanistan,AFG,1990,52.41704,,53.355362,2017.0
14,Afghanistan,AFG,1990,,Asia,53.355362,2017.0
122,Armenia,ARM,1990,32.124294,,34.9072,2017.0
123,Armenia,ARM,1990,31.473051,,34.9072,2017.0
124,Armenia,ARM,1990,31.074173,,34.9072,2017.0
125,Armenia,ARM,1990,31.923468,,34.9072,2017.0
126,Armenia,ARM,1990,35.395485,,34.9072,2017.0
127,Armenia,ARM,1990,39.93109,,34.9072,2017.0
128,Armenia,ARM,1990,40.53562,,34.9072,2017.0
129,Armenia,ARM,1990,38.41539,,34.9072,2017.0
130,Armenia,ARM,1990,38.00214,,34.9072,2017.0
131,Armenia,ARM,1990,37.38765,,34.9072,2017.0
132,Armenia,ARM,1990,34.240364,,34.9072,2017.0
133,Armenia,ARM,1990,34.9072,,34.9072,2017.0
134,Armenia,ARM,1990,34.03041,,34.9072,2017.0
135,Armenia,ARM,1990,33.65638,,34.9072,2017.0
136,Armenia,ARM,1990,,Asia,34.9072,2017.0
169,Azerbaijan,AZE,1990,22.695286,,25.06329,2017.0
170,Azerbaijan,AZE,1990,26.19513,,25.06329,2017.0
171,Azerbaijan,AZE,1990,24.539795,,25.06329,2017.0
172,Azerbaijan,AZE,1990,23.150778,,25.06329,2017.0
173,Azerbaijan,AZE,1990,25.081642,,25.06329,2017.0
174,Azerbaijan,AZE,1990,27.005903,,25.06329,2017.0
175,Azerbaijan,AZE,1990,28.76776,,25.06329,2017.0
176,Azerbaijan,AZE,1990,28.238628,,25.06329,2017.0
177,Azerbaijan,AZE,1990,27.484968,,25.06329,2017.0
178,Azerbaijan,AZE,1990,26.066187,,25.06329,2017.0
179,Azerbaijan,AZE,1990,24.385494,,25.06329,2017.0
180,Azerbaijan,AZE,1990,25.06329,,25.06329,2017.0
181,Azerbaijan,AZE,1990,25.135942,,25.06329,2017.0
182,Azerbaijan,AZE,1990,25.495054,,25.06329,2017.0
183,Azerbaijan,AZE,1990,,Asia,25.06329,2017.0
199,Bahrain,BHR,1990,61.134426,,61.674313,2017.0
200,Bahrain,BHR,1990,58.515984,,61.674313,2017.0
201,Bahrain,BHR,1990,63.07218,,61.674313,2017.0
202,Bahrain,BHR,1990,66.59653,,61.674313,2017.0
203,Bahrain,BHR,1990,63.75377,,61.674313,2017.0
204,Bahrain,BHR,1990,65.33844,,61.674313,2017.0
205,Bahrain,BHR,1990,68.07535,,61.674313,2017.0
206,Bahrain,BHR,1990,64.284546,,61.674313,2017.0
207,Bahrain,BHR,1990,59.512737,,61.674313,2017.0
208,Bahrain,BHR,1990,66.36108,,61.674313,2017.0
209,Bahrain,BHR,1990,61.645824,,61.674313,2017.0
210,Bahrain,BHR,1990,61.674313,,61.674313,2017.0
211,Bahrain,BHR,1990,60.43816,,61.674313,2017.0
212,Bahrain,BHR,1990,59.217106,,61.674313,2017.0
213,Bahrain,BHR,1990,,Asia,61.674313,2017.0
214,Bangladesh,BGD,1990,52.90994,,62.75318,2017.0
215,Bangladesh,BGD,1990,51.643627,,62.75318,2017.0
216,Bangladesh,BGD,1990,53.74696,,62.75318,2017.0
217,Bangladesh,BGD,1990,55.061943,,62.75318,2017.0
218,Bangladesh,BGD,1990,56.4165,,62.75318,2017.0
219,Bangladesh,BGD,1990,60.535873,,62.75318,2017.0
220,Bangladesh,BGD,1990,68.94271,,62.75318,2017.0
221,Bangladesh,BGD,1990,66.42738,,62.75318,2017.0
222,Bangladesh,BGD,1990,73.27082,,62.75318,2017.0
223,Bangladesh,BGD,1990,68.97034,,62.75318,2017.0
224,Bangladesh,BGD,1990,67.76736,,62.75318,2017.0
225,Bangladesh,BGD,1990,62.75318,,62.75318,2017.0
226,Bangladesh,BGD,1990,63.275463,,62.75318,2017.0
227,Bangladesh,BGD,1990,63.42553,,62.75318,2017.0
228,Bangladesh,BGD,1990,,Asia,62.75318,2017.0
319,Bhutan,BTN,1990,35.101063,,40.163574,2017.0
320,Bhutan,BTN,1990,33.843346,,40.163574,2017.0
321,Bhutan,BTN,1990,36.715622,,40.163574,2017.0
322,Bhutan,BTN,1990,39.289932,,40.163574,2017.0
323,Bhutan,BTN,1990,39.72804,,40.163574,2017.0
324,Bhutan,BTN,1990,38.044918,,40.163574,2017.0
325,Bhutan,BTN,1990,44.307625,,40.163574,2017.0
326,Bhutan,BTN,1990,42.70852,,40.163574,2017.0
327,Bhutan,BTN,1990,48.539032,,40.163574,2017.0
328,Bhutan,BTN,1990,44.482925,,40.163574,2017.0
329,Bhutan,BTN,1990,43.649048,,40.163574,2017.0
330,Bhutan,BTN,1990,40.163574,,40.163574,2017.0
331,Bhutan,BTN,1990,40.412563,,40.163574,2017.0
332,Bhutan,BTN,1990,40.2986,,40.163574,2017.0
333,Bhutan,BTN,1990,,Asia,40.163574,2017.0
397,Brunei,BRN,1990,7.963653,,7.3487496,2017.0
398,Brunei,BRN,1990,6.826811,,7.3487496,2017.0
399,Brunei,BRN,1990,6.4466953,,7.3487496,2017.0
400,Brunei,BRN,1990,6.693597,,7.3487496,2017.0
401,Brunei,BRN,1990,6.3934865,,7.3487496,2017.0
402,Brunei,BRN,1990,7.3451777,,7.3487496,2017.0
403,Brunei,BRN,1990,7.610637,,7.3487496,2017.0
404,Brunei,BRN,1990,7.6163187,,7.3487496,2017.0
405,Brunei,BRN,1990,7.7458186,,7.3487496,2017.0
406,Brunei,BRN,1990,7.9262443,,7.3487496,2017.0
407,Brunei,BRN,1990,7.6499257,,7.3487496,2017.0
408,Brunei,BRN,1990,7.3487496,,7.3487496,2017.0
409,Brunei,BRN,1990,7.6830144,,7.3487496,2017.0
410,Brunei,BRN,1990,7.680644,,7.3487496,2017.0
411,Brunei,BRN,1990,,Asia,7.3487496,2017.0
457,Cambodia,KHM,1990,28.340546,,22.017653,2017.0
458,Cambodia,KHM,1990,26.79196,,22.017653,2017.0
459,Cambodia,KHM,1990,27.441277,,22.017653,2017.0
460,Cambodia,KHM,1990,29.352867,,22.017653,2017.0
461,Cambodia,KHM,1990,28.990492,,22.017653,2017.0
