Country,City,AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Russian Federation,Praskoveya,51,36,0,51
Brazil,Presidente Dutra,41,5,1,41
Italy,Priolo Gargallo,66,39,2,66
Poland,Przasnysz,34,34,0,20
France,Punaauia,22,22,0,6
United States of America,Punta Gorda,54,14,11,54
Germany,Puttlingen,62,35,3,62
Belgium,Puurs,64,29,7,64
Russian Federation,Pyatigorsk,54,41,1,54
Egypt,Qalyub,142,89,9,142
China,Qinzhou,68,68,1,58
Netherlands,Raalte,41,24,6,41
India,Radaur,158,139,1,158
Pakistan,Radhan,158,50,1,158
Republic of North Macedonia,Radovis,83,46,0,83
France,Raismes,59,30,4,59
India,Rajgir,154,100,2,154
Italy,Ramacca,55,47,0,55
United States of America,Phoenix,72,4,23,72
India,Phulabani,161,71,0,161
Poland,Piaseczno,28,28,2,28
India,Pimpri,118,30,2,118
Brazil,Pindobacu,33,10,1,33
China,Pingyin,150,95,6,150
Brazil,Pinheiral,154,0,13,154
India,Piravam,81,24,1,81
Colombia,Plato,67,16,2,67
Romania,Poiana Mare,62,37,1,62
Russian Federation,Polevskoy,31,31,0,17
France,Pontarlier,56,35,0,56
United States of America,Pontiac,77,22,15,77
Indonesia,Pontianak,44,15,0,44
Brazil,Porecatu,30,9,2,30
Finland,Pori,30,30,1,15
South Africa,Port Elizabeth,79,18,5,79
United States of America,Port Neches,34,19,7,34
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,20,5,51
United States of America,Portales,77,34,0,77
United States of America,Post Falls,61,32,3,61
Brazil,Pouso Alegre,32,7,2,32
China,Dalinghe,64,64,4,64
Russian Federation,Dalnegorsk,29,29,0,25
United Republic of Tanzania,Dar Es Salaam,51,23,0,51
India,Darbhanga,247,162,1,247
United States of America,Dayton,45,32,7,45
Belgium,Deinze,36,25,3,36
Egypt,Dekernes,81,81,4,56
Haiti,Delmas,124,15,5,124
United States of America,Deming,72,26,2,72
United Kingdom of Great Britain and Northern Ireland,Denton,55,32,1,55
United States of America,Destin,31,31,0,25
Pakistan,Dhadar,157,89,0,157
India,Dharmapuri,60,31,1,60
Pakistan,Digri,153,40,0,153
Somalia,Dinsor,22,19,0,22
Philippines,Dipolog,30,17,0,30
Latvia,Dobele,44,34,0,44
United States of America,Grandville,47,37,4,47
Netherlands,Grave,37,32,2,37
United States of America,Green Valley,44,14,8,44
United States of America,Greendale,58,14,24,58
Poland,Grudziadz,37,33,0,37
Colombia,Guamo,89,3,6,89
Italy,Guardiagrele,52,38,7,52
Chad,Guelengdeng,59,16,0,59
United Kingdom of Great Britain and Northern Ireland,Guildford,51,25,6,51
Philippines,Guiset,66,26,1,66
Russian Federation,Gukovo,38,38,0,13
United States of America,Havre De Grace,34,30,7,34
United States of America,Hazelwood,88,11,20,88
Germany,Heddesheim,54,31,3,54
Germany,Heiligenhaus,44,28,3,44
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,26,6,51
United States of America,Hicksville,67,15,23,67
Brazil,Hidrolandia,42,5,2,42
India,Gyanpur,189,99,1,189
Germany,Haiger,49,25,3,49
China,Hangzhou,203,203,5,151
Germany,Harrislee,35,32,0,35
United States of America,Harrison,90,25,2,90
India,Harur,67,26,1,67
Germany,Hasbergen,36,34,1,36
France,Haubourdin,48,28,4,48
United States of America,Taunton,41,28,10,41
New Zealand,Tauranga,19,19,1,17
Tunisia,Tawzar,73,43,0,73
Viet Nam,Tay Ninh,45,18,1,45
Iran (Islamic Republic of),Taybad,170,43,0,170
Italy,Teano,47,47,1,36
India,Tekkali,155,82,1,155
Brazil,Teodoro Sampaio,46,9,1,46
Mexico,Tepeaca,172,2,11,172
Mexico,Tequila,64,15,2,64
Italy,Teramo,44,44,1,38
Viet Nam,Thai Nguyen,150,150,1,105
China,Tianjin,142,113,9,142
Indonesia,Tidore,21,13,0,21
Romania,Timisoara,47,42,0,47
Tunisia,Tinjah,48,48,1,29
Philippines,Toboso,54,20,0,54
Japan,Tokorozawa,60,44,3,60
Mexico,Toluca,166,8,19,166
Brazil,Itapissuma,27,23,1,27
Brazil,Itarantim,23,7,1,23
Brazil,Itumbiara,31,13,0,31
Mexico,Ixtaczoquitlan,88,13,9,88
El Salvador,Izalco,90,22,9,90
United Republic of Tanzania,Izazi,28,15,0,28
Russian Federation,Izberbash,51,38,0,51
