Entity,Code,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",World regions according to OWID,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter).1",Year.1
Afghanistan,AFG,1990,49.2824,,53.355362,2017.0
Afghanistan,AFG,1990,48.56489,,53.355362,2017.0
Afghanistan,AFG,1990,51.554535,,53.355362,2017.0
Afghanistan,AFG,1990,46.151928,,53.355362,2017.0
Afghanistan,AFG,1990,51.82179,,53.355362,2017.0
Afghanistan,AFG,1990,56.247227,,53.355362,2017.0
Afghanistan,AFG,1990,54.700233,,53.355362,2017.0
Afghanistan,AFG,1990,58.79166,,53.355362,2017.0
Afghanistan,AFG,1990,61.86533,,53.355362,2017.0
Afghanistan,AFG,1990,60.597015,,53.355362,2017.0
Afghanistan,AFG,1990,57.203705,,53.355362,2017.0
Afghanistan,AFG,1990,53.355362,,53.355362,2017.0
Afghanistan,AFG,1990,52.80462,,53.355362,2017.0
Afghanistan,AFG,1990,52.41704,,53.355362,2017.0
Afghanistan,AFG,1990,,Asia,53.355362,2017.0
Aland Islands,ALA,1990,,Europe,,
Albania,ALB,1990,24.947481,,19.019062,2017.0
Albania,ALB,1990,24.12934,,19.019062,2017.0
Albania,ALB,1990,24.30287,,19.019062,2017.0
Albania,ALB,1990,22.169489,,19.019062,2017.0
Albania,ALB,1990,21.631449,,19.019062,2017.0
Albania,ALB,1990,23.414816,,19.019062,2017.0
Albania,ALB,1990,21.555977,,19.019062,2017.0
Albania,ALB,1990,20.050282,,19.019062,2017.0
Albania,ALB,1990,19.942171,,19.019062,2017.0
Albania,ALB,1990,19.543976,,19.019062,2017.0
Albania,ALB,1990,17.817305,,19.019062,2017.0
Albania,ALB,1990,19.019062,,19.019062,2017.0
Albania,ALB,1990,18.820118,,19.019062,2017.0
Albania,ALB,1990,18.63878,,19.019062,2017.0
Albania,ALB,1990,,Europe,19.019062,2017.0
Algeria,DZA,1990,30.0689,,32.552746,2017.0
Algeria,DZA,1990,32.117413,,32.552746,2017.0
Algeria,DZA,1990,35.376846,,32.552746,2017.0
Algeria,DZA,1990,34.00185,,32.552746,2017.0
Algeria,DZA,1990,31.942152,,32.552746,2017.0
Algeria,DZA,1990,31.471186,,32.552746,2017.0
Algeria,DZA,1990,32.4911,,32.552746,2017.0
Algeria,DZA,1990,30.349566,,32.552746,2017.0
Algeria,DZA,1990,31.875238,,32.552746,2017.0
Algeria,DZA,1990,33.440006,,32.552746,2017.0
Algeria,DZA,1990,32.790096,,32.552746,2017.0
Algeria,DZA,1990,32.552746,,32.552746,2017.0
Algeria,DZA,1990,32.66295,,32.552746,2017.0
Algeria,DZA,1990,32.833084,,32.552746,2017.0
Algeria,DZA,1990,,Africa,32.552746,2017.0
American Samoa,ASM,1990,6.724221,,6.3392963,2017.0
American Samoa,ASM,1990,6.6777887,,6.3392963,2017.0
American Samoa,ASM,1990,5.8999677,,6.3392963,2017.0
American Samoa,ASM,1990,6.073849,,6.3392963,2017.0
American Samoa,ASM,1990,5.8226743,,6.3392963,2017.0
American Samoa,ASM,1990,5.49504,,6.3392963,2017.0
