타임스탬프,1. 학년을 선택하세요 ,2. 성별,3. 최근 학기 평균 성적은 어떻게 되나요?,4. 학습 평균 학습시간이 몇시간인가요?,5. 학교에서 수업 외에 자율학습을 얼마나 자주 하나요?  ,6. 과제를 얼마나 자주 제출하나요?  ,7. 시험 준비는 어떻게 하나요?  ,8. 학교 출석률은 어느 정도인가요?  ,9. 학습 환경에 얼마나 만족하나요?  ,10. 학원이나 과외를 받고 있나요?  ,11. 학원이나 과외가 학업에 얼마나 도움된다고 생각하나요?  ,"12. 주말에 학습 외 활동(취미, 운동, 아르바이트 등)에 얼마나 시간을 쓰나요?  ",13. 평소 수면 시간이 어떻게 되나요? ,14. 학업 스트레스가 어느 정도인가요?  
2024. 11. 30 오전 11:01:52,11학년,남자,B (80~89점),1~2시간,주 1~2회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,약간 도움됨,1~3시간,4~6시간,보통
2024. 11. 30 오전 11:37:27,8학년,남자,B (80~89점),1시간 미만,거의 안함,항상 제출,시험 1주 전부터 준비,95~100%,매우 만족,아니요,매우 도움됨,1~3시간,6~8시간,보통
2024. 11. 30 오후 12:04:00,7학년,여자,A (90점 이상),1~2시간,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,만족,아니요,보통,3~5시간,4~6시간,약간 있음
2024. 11. 30 오후 1:01:54,10학년,여자,B (80~89점),1시간 미만,거의 안함,항상 제출,시험 1주 전부터 준비,95~100%,만족,네,약간 도움됨,5시간 이상,6~8시간,약간 있음
2024. 11. 30 오후 3:10:08,11학년,여자,A (90점 이상),2~3시간,거의 안함,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,약간 도움됨,1~3시간,4~6시간,많이 있음
2024. 11. 30 오후 3:53:33,11학년,남자,A (90점 이상),1~2시간,주 1~2회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,약간 도움됨,1시간 미만,4시간 이하,약간 있음
2024. 11. 30 오후 4:47:15,11학년,여자,A (90점 이상),1~2시간,주 1~2회,항상 제출,시험 전날 준비,95~100%,보통,네,매우 도움됨,5시간 이상,4~6시간,많이 있음
2024. 11. 30 오후 6:12:32,10학년,남자,B (80~89점),2~3시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,매우 도움됨,3~5시간,4~6시간,약간 있음
2024. 11. 30 오후 9:48:33,11학년,남자,A (90점 이상),1시간 미만,거의 안함,항상 제출,시험 1주 전부터 준비,95~100%,만족,네,약간 도움됨,1시간 미만,8시간 이상,매우 많음
2024. 11. 30 오후 9:48:54,8학년,여자,C (70~79점),1시간 미만,주 3~4회,가끔 제출,시험 전날 준비,80% 미만,만족,네,약간 도움됨,5시간 이상,4시간 이하,보통
2024. 11. 30 오후 9:50:14,7학년,여자,C (70~79점),1시간 미만,거의 안함,거의 안 냄,거의 준비하지 않음,80% 미만,매우 만족,네,거의 도움 안 됨,5시간 이상,8시간 이상,매우 많음
2024. 11. 30 오후 9:52:28,12학년,남자,A (90점 이상),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,매우 도움됨,1시간 미만,6~8시간,많이 있음
2024. 11. 30 오후 9:52:50,11학년,남자,A (90점 이상),1시간 미만,거의 안함,항상 제출,시험 전날 준비,95~100%,보통,네,약간 도움됨,1~3시간,6~8시간,매우 많음
2024. 11. 30 오후 9:54:49,11학년,여자,B (80~89점),2~3시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,보통,네,거의 도움 안 됨,1시간 미만,4시간 이하,매우 많음
2024. 11. 30 오후 9:56:37,9학년,남자,B (80~89점),2~3시간,주 1~2회,가끔 제출,거의 준비하지 않음,95~100%,매우 만족,네,약간 도움됨,1~3시간,8시간 이상,전혀 없음
2024. 11. 30 오후 9:58:06,11학년,남자,D (60~69점),1시간 미만,매일,가끔 제출,시험 전날 준비,95~100%,매우 만족,네,매우 도움됨,1시간 미만,4~6시간,보통
2024. 11. 30 오후 9:59:35,10학년,남자,A (90점 이상),1~2시간,주 3~4회,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,약간 도움됨,5시간 이상,4시간 이하,보통
2024. 11. 30 오후 10:00:22,8학년,남자,B (80~89점),1~2시간,주 1~2회,항상 제출,시험 전날 준비,80~89%,만족,네,보통,3~5시간,4~6시간,전혀 없음
2024. 11. 30 오후 10:01:36,11학년,여자,C (70~79점),2~3시간,거의 안함,가끔 제출,시험 2주 전부터 준비,80~89%,보통,아니요,매우 도움됨,3~5시간,4~6시간,매우 많음
2024. 11. 30 오후 10:02:58,8학년,여자,A (90점 이상),1시간 미만,주 3~4회,항상 제출,시험 1주 전부터 준비,95~100%,보통,네,매우 도움됨,1시간 미만,6~8시간,약간 있음
2024. 11. 30 오후 10:04:22,9학년,남자,D (60~69점),1시간 미만,거의 안함,거의 안 냄,거의 준비하지 않음,95~100%,매우 불만족,아니요,매우 도움됨,1~3시간,6~8시간,약간 있음
2024. 11. 30 오후 10:06:49,11학년,여자,A (90점 이상),3시간 이상,매일,항상 제출,시험 2주 전부터 준비,95~100%,매우 만족,네,약간 도움됨,1~3시간,8시간 이상,보통
2024. 11. 30 오후 10:08:39,11학년,여자,F (60점 미만),3시간 이상,매일,가끔 제출,시험 전날 준비,95~100%,매우 만족,네,거의 도움 안 됨,1시간 미만,4시간 이하,매우 많음
